RET16AE001,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B+, EC232,A, AE204,B,HS200,C, EE216,B, AE232,B, AE202,B+
RET16AE002,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,F, EC204,F, EC232,B+, AE204,C,HS200,P, EE216,F, AE232,A, AE202,F
RET16AE003,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,A+, EC232,A, AE204,A+,HS200,B+, EE216,B+, AE232,A+, AE202,B+
RET16AE004,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,F, EC232,B, AE204,B,HS200,F, EE216,F, AE232,C, AE202,C
RET16AE005,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,C, EC204,C, EC232,B, AE204,B+,HS200,F, EE216,B, AE232,B+, AE202,B
RET16AE006,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,F, EC204,C, EC232,B+, AE204,F,HS200,F, EE216,C, AE232,C, AE202,B+
RET16AE007,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B+, EC232,A, AE204,B+,HS200,A, EE216,B, AE232,A, AE202,B+
RET16AE008,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,A+, EC232,O, AE204,A+,HS200,A+, EE216,A+, AE232,O, AE202,A+
RET16AE009,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,B+, EC232,A+, AE204,A+,HS200,A+, EE216,B+, AE232,O, AE202,B+
RET16AE010,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,F, EC204,F, EC232,B, AE204,C,HS200,F, EE216,F, AE232,B+, AE202,C
RET16AE011,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B, EC232,A, AE204,C,HS200,B, EE216,B+, AE232,A+, AE202,B+
RET16AE012,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,C, EC204,F, EC232,C, AE204,F,HS200,C, EE216,F, AE232,A, AE202,B+
RET16AE013,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,B, EC232,B+, AE204,B+,HS200,B, EE216,F, AE232,A, AE202,B+
RET16AE014,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,A+, EC232,O, AE204,B,HS200,B+, EE216,B, AE232,A+, AE202,O
RET16AE015,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,B, AE204,B,HS200,C, EE216,B+, AE232,B+, AE202,B
RET16AE016,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B+, EC232,B+, AE204,B,HS200,B, EE216,F, AE232,A, AE202,B+
RET16AE017,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A, EC204,B, EC232,B+, AE204,C,HS200,B, EE216,F, AE232,A, AE202,C
RET16AE018,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,B+, EC232,A+, AE204,F,HS200,B+, EE216,B, AE232,A+, AE202,O
RET16AE019,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,C, EC204,C, EC232,C, AE204,C,HS200,F, EE216,C, AE232,B+, AE202,B+
RET16AE020,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B, EC232,A, AE204,F,HS200,F, EE216,F, AE232,A, AE202,F
RET16AE021,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,A+, EC232,A+, AE204,A,HS200,B+, EE216,A+, AE232,O, AE202,A
RET16AE022,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,A+, EC204,B, EC232,O, AE204,B+,HS200,B+, EE216,C, AE232,O, AE202,B
RET16AE023,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,A+, EC232,A+, AE204,A+,HS200,A, EE216,B+, AE232,O, AE202,A
RET16AE024,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,O, EC204,A, EC232,O, AE204,A,HS200,B+, EE216,B, AE232,O, AE202,B+
RET16AE025,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B, EC232,B+, AE204,F,HS200,B+, EE216,F, AE232,C, AE202,B+
RET16AE026,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B, EC204,B+, EC232,O, AE204,B,HS200,B, EE216,B, AE232,A, AE202,O
RET16AE027,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING, MA204,B+, EC204,B+, EC232,O, AE204,A,HS200,B, EE216,B+, AE232,O, AE202,B+
